Time_s,ax_g,ay_g,az_g,wx_deg_s,wy_deg_s,wz_deg_s,AngleX_deg,AngleY_deg,AngleZ_deg,Label
01:18.6,0.9995,0.0806,-0.0205,-1.8311,0,0.061,103.4198,-84.754,111.6156,lunge
01:18.7,1,0.0776,-0.0215,2.8076,0.061,0.2441,103.8702,-84.765,111.1761,lunge
01:18.9,0.998,0.0962,-0.019,1.5869,0,0,104.0021,-84.787,111.2915,lunge
01:18.9,0.9971,0.0928,-0.0205,0.4883,-0.1831,0.4272,104.1559,-84.809,111.2311,lunge
01:19.1,0.9995,0.0908,-0.0215,-0.9155,-0.3662,0,104.502,-84.787,110.8685,lunge
01:19.1,0.9961,0.0835,-0.02,-0.7935,-0.6104,0.6104,104.859,-84.798,110.4346,lunge
01:19.2,1.0005,0.0879,-0.0229,-0.9155,-0.3052,-0.1221,105.1227,-84.8145,110.127,lunge
01:19.3,1,0.0879,-0.0229,-1.6479,-0.4883,0.3052,105.5292,-84.8309,109.5831,lunge
01:19.4,0.9976,0.0859,-0.0234,-0.9155,-0.3662,0.2441,105.9357,-84.8309,109.0448,lunge
01:19.6,0.9976,0.0874,-0.0239,0,0.1831,0.061,105.9521,-84.8364,109.0063,lunge
01:19.6,1.002,0.083,-0.0239,-1.1597,0,0.3052,105.8093,-84.8584,109.1327,lunge
01:19.8,1.0205,0.0605,-0.0259,0.1831,4.6997,1.5869,104.87,-84.9847,109.9237,lunge
01:19.8,0.9961,0.0566,-0.0356,2.2583,4.8218,9.3384,101.9092,-85.7538,112.901,lunge
01:19.9,1,0.0435,-0.0332,9.8267,0.4883,6.4087,103.4253,-86.5778,111.709,lunge
01:20.1,1.0127,-0.0054,-0.0532,9.0942,9.1553,0.4272,105.5017,-86.9897,109.7534,lunge
01:20.1,1.0483,0.0054,-0.0273,28.0762,17.5171,0.2441,84.3805,-87.3193,132.4622,lunge
01:20.2,1.0078,-0.0303,0,54.6265,25.8789,-14.2822,56.5411,-85.99,163.0756,lunge
01:20.5,0.9868,0.1748,0.0635,51.0864,10.7422,-0.1831,52.1796,-84.1718,171.8481,lunge
01:20.5,0.9893,0.0771,0.0962,-4.3335,-9.2163,14.8926,40.6549,-85.2374,-176.2262,lunge
01:20.5,0.998,-0.1338,0.0781,36.0718,4.9438,27.1606,24.2358,-86.402,-158.2855,lunge
01:20.7,0.9697,-0.1182,0.1211,60.4858,17.9443,20.752,-3.23,-85.2869,-126.0626,lunge
01:20.7,0.938,-0.0518,0.1484,77.7588,30.4565,18.0054,-11.7938,-82.6282,-110.7202,lunge
